name,id,CDD,HDD,Tavg,Trange,Tmax,Tmin,Prcp,Snow
"Worcester, MA US",CITY:US250014,479,6873,47.48,22.28,58.64,36.32,4868,409
"Ann Arbor, MI US",CITY:US260002,524,6588,48.379999999999995,19.58,58.28,38.660000000000004,3591,573
"Detroit, MI US",CITY:US260006,731,6335,49.64,18.32,58.82,40.46,3756,573
"Flint, MI US",CITY:US260008,493,6958,47.3,21.74,58.28,36.32,3167,286
"Grand Rapids, MI US",CITY:US260009,698,6485,49.1,17.779999999999998,57.92,40.28,3875,626
"Lansing, MI US",CITY:US260013,666,6589,48.74,18.14,57.74,39.74,3559,508
"Minneapolis, MN US",CITY:US270013,605,7912,44.96,18.86,54.32,35.6,3116,539
"Rochester, MN US",CITY:US270016,467,8222,43.7,23.0,55.22,32.18,3387,458
"St. Cloud, MN US",CITY:US270018,638,7928,44.96,19.4,54.68,35.24,3054,537
"Biloxi, MS US",CITY:US280001,2724,1497,68.36,16.16,76.46,60.26,6483,1
"Gulfport, MS US",CITY:US280009,2724,1497,68.36,16.16,76.46,60.26,6483,1
"Hattiesburg, MS US",CITY:US280010,2400,2023,66.02,20.84,76.46,55.58,6159,5
"Jackson, MS US",CITY:US280011,2258,2392,64.58,21.92,75.56,53.78,5360,8
"Columbia, MO US",CITY:US290002,1461,4745,55.94,19.939999999999998,65.84,46.04,4628,146
